type,id,name
way,128980495,Fram Museum
way,4352046,Royal Palace
way,201611261,Notre Dame de Paris
relation,3262297,The Louvre
way,226413508,Arc de Triomphe
way,63178753,Musée d'Orsay
way,415077613,Musée d'Orsay
node,4533627787,Champs-Élysées
relation,6438767,Montmartre
way,23762981,Sacré-Cœur
relation,3344870,Sainte-Chapelle
way,128206209,Jardin du Luxembourg
node,2038017580,Latin Quarter
way,30736563,Art Gallery of Western Australia
way,8046233,Perth Zoo
way,36993405,Crown Perth
node,33164509,Matilda Bay
way,25271595,Independence Hall
way,50189935,Franklin Institute
way,28533972,Philadelphia Museum of Art
way,320052082,Eastern State Penitentiary
way,183620616,Barnes Foundation
way,62202931,Benjamin Franklin Parkway
way,12167194,Benjamin Franklin Parkway
way,12167196,Benjamin Franklin Parkway
way,195807753,Benjamin Franklin Parkway
way,49916202,Please Touch Museum
relation,4720912,Philadelphia City Hall
node,367134672,Philadelphia City Hall
way,25429525,Franklin Square
way,37057925,Arizona Science Center
relation,1983722,Heard Museum
node,2334012138,Camelback Mountain
way,184515789,Musical Instrument Museum
relation,2048105,Phoenix Art Museum
node,203908896,Ro Ho En
way,27937322,Cathedral of Our Lady of the Assumption
node,3017486370,Bureau d'Ethnologie
way,35969760,Oregon Zoo
way,130713767,Portland Japanese Garden
way,73908289,Pittock Mansion
way,32482549,Lan Su Chinese Garden
way,52560713,Portland Children's Museum
relation,1666862,Pioneer Courthouse Square
way,130711718,Hoyt Arboretum
way,130711715,Hoyt Arboretum
way,144126497,Hoyt Arboretum
way,130711717,Hoyt Arboretum
way,130711716,Hoyt Arboretum
way,130713808,Hoyt Arboretum
way,130711719,Hoyt Arboretum
node,357349103,The Grotto
relation,3367914,St. Vitus Cathedral
relation,422899,Vyšehrad
node,4368910889,Vyšehrad
way,8888301,Vyšehrad
way,27124435,Municipal House
relation,3312247,Prague Castle
relation,3366641,Wenceslas Square
node,3857510377,Petřín
way,25795245,Perlan
node,4420357589,The Sun Voyager
node,1511563888,Icelandic Phallological Museum
node,1264724303,Reykjavík 871±2
relation,5820121,Tjörnin
relation,5820120,Tjörnin
way,26992692,Árbæjarsafn
relation,5357403,Christ the Redeemer
node,34582421,Sugarloaf Mountain
relation,5516122,Ipanema
node,1551149888,Corcovado
node,3307945305,Corcovado
relation,4587734,Maracanã
way,288792009,Maracanã
way,93259378,Botafogo
way,40589074,National Museum of Saudi Arabia
way,177667555,Al Faisaliyah Center
way,334204101,Al Hokair Land
node,315149553,Pantheon
relation,3374342,Pantheon
relation,1841080,Roman Forum
way,23322002,Trevi Fountain
way,134400816,Spanish Steps
relation,450598,Piazza Navona
node,1440405490,Galleria Borghese
way,289426818,SeaWorld San Diego
way,25965018,USS Midway Museum
node,4238551589,Seaport Village
way,31274621,San Diego Zoo
way,40184734,Old Town San Diego State Historic Park
way,40184735,Old Town San Diego State Historic Park
way,40184733,Old Town San Diego State Historic Park
way,40184736,Old Town San Diego State Historic Park
relation,6173923,Cabrillo National Monument
node,814679505,Point Loma
way,31284612,Belmont Park
way,39315120,Birch Aquarium
way,24433344,Alcatraz Island
node,265562462,Alcatraz Island
way,199829618,Fisherman's Wharf
way,25278818,Union Square
node,3639535348,Chinatown
way,199829618,Pier 39
way,158602261,Golden Gate Park
way,28695389,California Academy of Sciences
node,621529017,Exploratorium
way,402111597,Lombard Street
way,142863669,Castillo San Cristóbal
relation,3501975,La Fortaleza
way,279416946,San Juan Marriott Resort & Stellaris Casino
way,387748038,Casa Presidencial
way,236331992,Basílica Santuario Nacional de Nuestra Señora de la Caridad del Cobre
way,334682510,Parque zoológico de Santiago de Cuba
way,39075566,Plaza de Marte
node,606446547,Casa de Diego Velazquez
way,39075239,Museo Emilio Bacardí Moreau
relation,4049320,National Palace
way,288636321,Parque Colon
node,4501562857,Pinacoteca do Estado de São Paulo
node,2112739849,Pinacoteca do Estado de São Paulo
way,419922808,São Paulo Museum of Art
way,348407156,São Paulo Cathedral
way,155473557,Theatro Municipal
way,297791653,Theatro Municipal
way,51414740,Sala São Paulo
way,363400641,Pike Place Market
way,8097127,Woodland Park Zoo
way,394955903,Pacific Science Center
way,8097142,Woodland Park
way,161587729,Chihuly Garden and Glass
way,76145616,Lake Union
relation,5729177,Safeco Field
way,292961531,Ballard Locks
way,75958524,Changdeokgung
way,370286012,N Seoul Tower
node,288169256,Namsan
way,26281660,Lotte World
way,229891123,War Memorial of Korea
way,170199440,Gwanghwamun
way,26658458,Deoksugung
way,380067759,COEX Mall
way,40036584,Yu Garden
way,40778038,Oriental Pearl Tower
node,4330496506,Nanjing Road
way,40325255,Xintiandi
node,769845266,Jade Buddha Temple
way,10691100,Shanghai World Financial Center
relation,2153738,People's Square
way,376075961,Jin Mao Tower
way,165792123,Shanghai Tower
way,27288534,Vasa Museum
way,377977591,Skansen
node,2483228637,Skansen
node,566172777,Skansen
relation,34394,Stockholm Palace
way,33275424,ABBA: The Museum
node,868261113,Fotografiska
node,29898032,Moderna Museet
way,4230931,Skeppsholmen
node,1425549937,Skeppsholmen
way,205149952,Sydney Harbour Bridge
relation,5729505,The Rocks
node,25843272,Darling Harbour
way,173244595,Bondi Beach
way,4354532,Taronga Zoo
relation,3744999,Royal Botanic Garden
node,975007327,Port Jackson
way,197801072,Sydney Tower
